mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1002800,6495A Triple Quadrupole LC/MS,Agilent 6495A Triple Quadrupole,MTBLS_000612,Agilent 6495A Triple Quadrupole,,Mass spectrometry instrument
MS_1002801,6495B Triple Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1002802,7000A Triple Quadrupole GC/MS,,,,,Mass spectrometry instrument
MS_1002803,7000B Triple Quadrupole GC/MS,Agilent 7000B Triple Quadrupole,,,Agilent 7000B,Mass spectrometry instrument
MS_1002804,7800 Quadrupole ICP-MS,,,,,Mass spectrometry instrument
MS_1002805,8800 Triple Quadrupole ICP-MS,,,,,Mass spectrometry instrument
MS_1002835,LTQ Orbitrap Classic,Thermo Scientific LTQ Orbitrap Classic,MTBLS_000645,Thermo Scientific LTQ Orbitrap Classic,,Mass spectrometry instrument
MS_1002874,TSQ Altis,Thermo Scientific TSQ Altis,MTBLS_002246,Thermo Scientific TSQ Altis,Thermo TSQ Altis,Mass spectrometry instrument
MS_1002875,TSQ Quantis,,,,Thermo TSQ Quantis QQQ,Mass spectrometry instrument
MS_1002876,TSQ 9000,Thermo Scientific TSQ 9000,MTBLS_002245,Thermo Scientific TSQ 9000,,Mass spectrometry instrument
MS_1002877,Q Exactive HF-X,Thermo Scientific Q Exactive HF-X,MTBLS_002243,Thermo Scientific Q Exactive HF-X,Thermo Q Exactive HF-X Orbitrap,Mass spectrometry instrument
MS_1002992,Orbitrap Exploris GC-MS,,,,,Mass spectrometry instrument
MS_1002993,Q Exactive Focus,Thermo Scientific Q Exactive Focus,MTBLS_000659,Thermo Scientific Q Exactive Focus,Thermo Q Exactive Focus,Mass spectrometry instrument
MS_1002994,Orbitrap Excedion Pro,,,,,Mass spectrometry instrument
MS_1002998,LCMS-9030,Shimadzu LCMS-9030,MTBLS_002217,Shimadzu LCMS-9030,,Mass spectrometry instrument
MS_1002999,LCMS-8060,Shimadzu LCMS-8060,,,Shimadzu LCMS-8060,Mass spectrometry instrument
MS_1003000,LCMS-8050,Shimadzu LCMS-8050,MTBLS_000637,Shimadzu LCMS-8050,,Mass spectrometry instrument
MS_1003001,LCMS-8045,,,,,Mass spectrometry instrument
MS_1003002,LCMS-8040,Shimadzu LCMS-8040,MTBLS_002216,Shimadzu LCMS-8040,,Mass spectrometry instrument
MS_1003003,LCMS-2020,Shimadzu LCMS-2020,MTBLS_002213,Shimadzu LCMS-2020,,Mass spectrometry instrument
MS_1003004,maXis II,Bruker maXis II UHR-ToF,MTBLS_002114,Bruker maXis II UHR-ToF,Bruker Daltonics maXis-II,Mass spectrometry instrument
MS_1003005,timsTOF Pro,Bruker timsTOF Pro,MTBLS_002117,Bruker timsTOF Pro,Bruker timsTOF PRO,Mass spectrometry instrument
MS_1003028,Orbitrap Exploris 480,Thermo Scientific Orbitrap Exploris 480,,,Thermo Orbitrap Exploris 480,Mass spectrometry instrument
MS_1003029,Orbitrap Eclipse,Thermo Scientific Orbitrap Eclipse Tribrid,,,,Mass spectrometry instrument
MS_1003094,Orbitrap Exploris 240,Thermo Scientific Orbitrap Exploris 240,MTBLS_002240,Thermo Scientific Orbitrap Exploris 240,Thermo Orbitrap Exploris 240,Mass spectrometry instrument
MS_1003095,Orbitrap Exploris 120,Thermo Scientific Orbitrap Exploris 120,MTBLS_002239,Thermo Scientific Orbitrap Exploris 120,Thermo Orbitrap Exploris 120,Mass spectrometry instrument
MS_1003096,Orbitrap Velos Pro,Thermo Scientific Velos Pro,MTBLS_000666,Thermo Scientific Velos Pro,Thermo Orbitrap Velos Pro; Thermo Velos Pro Orbitrap,Mass spectrometry instrument
MS_1003112,Orbitrap ID-X,Thermo Scientific Orbitrap ID-X Tribrid,MTBLS_002241,Thermo Scientific Orbitrap ID-X Tribrid,Thermo Orbitrap ID-X Tribrid,Mass spectrometry instrument
MS_1003122,rapifleX,Bruker rapifleX,,,,Mass spectrometry instrument
MS_1003124,timsTOF fleX,Bruker timsTOF fleX,,,Bruker timsTOF fleX,Mass spectrometry instrument
MS_1003144,Triple Quad 7500,,,,,Mass spectrometry instrument
MS_1003152,GCMS-QP2010SE,,,,,Mass spectrometry instrument
MS_1003183,Synapt XS,Waters SYNAPT XS; Waters Synapt-XS,,,Waters Synapt-XS,Mass spectrometry instrument
MS_1003184,SELECT SERIES Cyclic IMS,,,,,Mass spectrometry instrument
MS_1003185,SELECT SERIES MRT,,,,,Mass spectrometry instrument
MS_1003229,timsTOF,Bruker timsTOF,MTBLS_002116,Bruker timsTOF,Bruker timsTOF,Mass spectrometry instrument
MS_1003230,timsTOF Pro 2,Bruker timsTOF Pro 2,MTBLS_002118,Bruker timsTOF Pro 2,,Mass spectrometry instrument
MS_1003231,timsTOF SCP,,,,,Mass spectrometry instrument
MS_1003245,Q Exactive UHMR,,,,,Mass spectrometry instrument
MS_1003252,Xevo G2-XS QTof,Waters Xevo G2-XS QTof,MTBLS_000682,Waters Xevo G2-XS QTof,,Mass spectrometry instrument
MS_1003292,TSQ Altis Plus,Thermo Scientific TSQ Altis Plus,MTBLS_002247,Thermo Scientific TSQ Altis Plus,Thermo TSQ Altis Plus,Mass spectrometry instrument
MS_1003293,ZenoTOF 7600,AB SCIEX ZenoTOF 7600,,,ABI Sciex 7600 ZenoTOF,Mass spectrometry instrument
MS_1003356,Orbitrap Ascend,,,,,Mass spectrometry instrument
MS_1003378,Orbitrap Astral,,,,,Mass spectrometry instrument
MS_1003380,Xevo G3 QTof,Waters Xevo G3 QTof,,,,Mass spectrometry instrument
MS_1003381,ACQUITY RDa Detector,,,,,Mass spectrometry instrument
MS_1003383,timsTOF Ultra,Bruker timsTOF Ultra,,,,Mass spectrometry instrument
MS_1003395,Q Exactive GC Orbitrap,,,,,Mass spectrometry instrument
MS_1003397,timsTOF fleX MALDI-2,,,,,Mass spectrometry instrument
MS_1003404,timsTOF HT,Bruker timsTOF HT,,,,Mass spectrometry instrument
MS_1003409,Stellar,,,,,Mass spectrometry instrument
MS_1003411,Orbitrap IQ-X,Thermo Scientific Orbitrap IQ-X Tribrid,MTBLS_002242,Thermo Scientific Orbitrap IQ-X Tribrid,Thermo Orbitrap IQ-X Tribrid,Mass spectrometry instrument
MS_1003412,timsTOF Ultra 2,Bruker timsTOF Ultra 2,,,,Mass spectrometry instrument
MS_1003423,Orbitrap Exploris GC 240,,,,,Mass spectrometry instrument
MS_1003442,Orbitrap Astral Zoom,,,,,Mass spectrometry instrument
MS_1003443,ZenoTOF 8600,,,,,Mass spectrometry instrument
MS_1003444,ZenoTOF 7600+,,,,,Mass spectrometry instrument
MS_1003445,SCIEX 7500+,,,,,Mass spectrometry instrument
MS_1003449,ISQ 7000,Thermo Scientific ISQ 7000,,,,Mass spectrometry instrument
MS_1003456,TripleTOF 6600+,AB SCIEX TripleTOF 6600+,MTBLS_000604,AB SCIEX TripleTOF 6600+,,Mass spectrometry instrument
MS_1003457,Triple Quad 5500+,AB SCIEX Triple Quad 5500+,MTBLS_002036,AB SCIEX Triple Quad 5500+,ABI Sciex Triple Quad 5500+,Mass spectrometry instrument
MS_1003458,Triple Quad 5500+ QTRAP Ready,AB SCIEX Triple Quad 5500+ QTRAP Ready,MTBLS_002037,AB SCIEX Triple Quad 5500+ QTRAP Ready,,Mass spectrometry instrument
MS_1003459,APEX-Qe,Bruker APEX-Qe 9.4T,MTBLS_000622,Bruker APEX-Qe 9.4T,,Mass spectrometry instrument
MS_1003460,autoflex speed TOF/TOF,,,,,Mass spectrometry instrument
MS_1003461,esquire 3000,Bruker Esquire 3000,MTBLS_000625,Bruker Esquire 3000,,Mass spectrometry instrument
MS_1003462,maXis impact,Bruker maXis impact UHR-QTOF,MTBLS_000628,Bruker maXis impact UHR-QTOF,Bruker maXis Impact qTOF,Mass spectrometry instrument
MS_1003463,maXis impact HD,Bruker maXis impact HD UHR-QTOF,MTBLS_002115,Bruker maXis impact HD UHR-QTOF,,Mass spectrometry instrument
MS_1003464,maXis 3G,Bruker maXis 3G,,,Bruker Daltonics maXis 3G,Mass spectrometry instrument
MS_1003465,solariX XR,Bruker solariX XR,MTBLS_001082,Bruker solariX XR,,Mass spectrometry instrument
MS_1003466,amaZon SL,,,,,Mass spectrometry instrument
MS_1003467,EVOQ DART-TQ+,,,,,Mass spectrometry instrument
MS_1003468,EVOQ LC-TQ,,,,,Mass spectrometry instrument
MS_1003469,EVOQ GC-TQ,,,,,Mass spectrometry instrument
MS_1003470,Toxtyper,,,,,Mass spectrometry instrument
MS_1003471,impact II VIP,,,,,Mass spectrometry instrument
MS_1003472,ecTOF,,,,,Mass spectrometry instrument
MS_1003473,autoflex maX,,,,,Mass spectrometry instrument
MS_1003474,rapifleX MALDI PharmaPulse,,,,,Mass spectrometry instrument
MS_1003475,smartfleX,,,,,Mass spectrometry instrument
MS_1003476,neofleX,,,,,Mass spectrometry instrument
MS_1003477,MALDI Biotyper,,,,,Mass spectrometry instrument
MS_1003478,scimaX,Bruker scimaX MRMS,MTBLS_000635,Bruker scimaX MRMS,Bruker scimaX MRMS,Mass spectrometry instrument
MS_1003479,timsMetabo,,,,,Mass spectrometry instrument
MS_1003480,timsUltra AIP,,,,,Mass spectrometry instrument
MS_1003481,timsOmni,,,,,Mass spectrometry instrument
MS_1003482,timsTOF MALDI PharmaPulse,,,,,Mass spectrometry instrument
MS_1003483,4000 GC/MS,Varian 4000 MSD,MTBLS_001002,Varian 4000 MSD,,Mass spectrometry instrument
MS_1003484,210-MS GC/MS Ion Trap,Varian 210-MS GC Ion Trap,,,Varian 210-MS GC Ion Trap,Mass spectrometry instrument
MS_1003485,LCMS-8030,Shimadzu LCMS-8030,MTBLS_002214,Shimadzu LCMS-8030,,Mass spectrometry instrument
MS_1003486,LCMS-8030 Plus,Shimadzu LCMS-8030 Plus,MTBLS_002215,Shimadzu LCMS-8030 Plus,,Mass spectrometry instrument
MS_1003487,GCMS-QP2010 Plus,Shimadzu GCMS-QP2010 Plus,,,Shimadzu QP2010 Plus,Mass spectrometry instrument
MS_1003488,LCMS-8060NX,Shimadzu LCMS-8060NX,,,Shimadzu LCMS-8060NX,Mass spectrometry instrument
MS_1003489,GCMS-TQ8050NX,Shimadzu GCMS-TQ8050 NX,MTBLS_002303,Shimadzu GCMS-TQ8050 NX,Shimadzu TQ8050NX,Mass spectrometry instrument
MS_1003490,GCMS-TQ8040NX,Shimadzu GCMS-TQ8040 NX,MTBLS_000996,Shimadzu GCMS-TQ8040 NX,,Mass spectrometry instrument
MS_1003491,GCMS-TQ8040,Shimadzu GCMS-TQ8040,MTBLS_001024,Shimadzu GCMS-TQ8040,Shimazu TQ8040,Mass spectrometry instrument
MS_1003492,GCMS-QP5000,Shimadzu GCMS-QP5000,MTBLS_001008,Shimadzu GCMS-QP5000,Shimadzu QP-5000,Mass spectrometry instrument
MS_1003493,GCMS-QP2020,Shimadzu GCMS-QP2020,MTBLS_000920,Shimadzu GCMS-QP2020,,Mass spectrometry instrument
MS_1003494,GCMS-QP2010 Ultra,Shimadzu GCMS-QP2010 Ultra,MTBLS_000926,Shimadzu GCMS-QP2010 Ultra,Shimadzu QP2010 Ultra,Mass spectrometry instrument
MS_1003495,Velos Pro,Thermo Scientific Orbitrap Velos Pro,MTBLS_000657,Thermo Scientific Orbitrap Velos Pro,,Mass spectrometry instrument
MS_1003496,MALDI LTQ Orbitrap XL,Thermo Scientific MALDI LTQ Orbitrap XL,MTBLS_001079,Thermo Scientific MALDI LTQ Orbitrap XL,,Mass spectrometry instrument
MS_1003497,MALDI LTQ Orbitrap Discovery,Thermo Scientific MALDI LTQ Orbitrap Discovery,MTBLS_001081,Thermo Scientific MALDI LTQ Orbitrap Discovery,,Mass spectrometry instrument
MS_1003498,TSQ Quantum Access MAX,Thermo Scientific TSQ Quantum Access MAX,MTBLS_000663,Thermo Scientific TSQ Quantum Access MAX,Thermo TSQ Quantum Access Max,Mass spectrometry instrument
MS_1003499,LTQ Orbitrap Velos/ETD,Thermo Scientific LTQ Orbitrap Velos ETD,MTBLS_000651,Thermo Scientific LTQ Orbitrap Velos ETD,,Mass spectrometry instrument
MS_1003500,ISQ LT,Thermo Scientific ISQ LT,MTBLS_000999,Thermo Scientific ISQ LT,Thermo ISQ LT,Mass spectrometry instrument
MS_1003501,ITQ,Thermo Scientific ITQ,,,Thermo ITQ,Mass spectrometry instrument
MS_1003502,TSQ Quantum XLS,Thermo Scientific TSQ Quantum XLS,MTBLS_001023,Thermo Scientific TSQ Quantum XLS,,Mass spectrometry instrument
MS_1003503,TSQ 8000,Thermo Scientific TSQ 8000,MTBLS_001014,Thermo Scientific TSQ 8000,,Mass spectrometry instrument
MS_1003504,DeltaPlus IRMS,,,,Thermo DeltaPlus Isotope Ratio MS,Mass spectrometry instrument
MS_1003505,ACQUITY QDa,Waters ACQUITY QDa,MTBLS_002259,Waters ACQUITY QDa,,Mass spectrometry instrument
MS_1003506,LCT Premier,Waters LCT Premier,MTBLS_000668,Waters LCT Premier,,Mass spectrometry instrument
MS_1003507,Quattro Premier XE,Waters Quattro Premier XE,MTBLS_000672,Waters Quattro Premier XE,Waters Quattro Premier XE,Mass spectrometry instrument
MS_1003508,Synapt G1 HDMS,Waters SYNAPT G1 HDMS System,MTBLS_000673,Waters SYNAPT G1 HDMS System,,Mass spectrometry instrument
MS_1003509,Synapt G2-Si HDMS,Waters SYNAPT G2-Si HDMS,MTBLS_000676,Waters SYNAPT G2-Si HDMS,,Mass spectrometry instrument
MS_1003510,Synapt G1,,,,Waters Synapt G1,Mass spectrometry instrument
MS_1003511,Synapt G2 XS QTOF,,,,Waters Synapt G2 XS QTOF,Mass spectrometry instrument
MS_1003512,Xevo TQ Absolute,,,,,Mass spectrometry instrument
MS_1003513,Xevo TQ Absolute XR,,,,,Mass spectrometry instrument
MS_1003514,5973 MSD,Agilent 5973 MSD,MTBLS_001027,Agilent 5973 MSD,Agilent 5973,Mass spectrometry instrument
MS_1003515,5973N MSD,Agilent 5973N MSD,MTBLS_000995,Agilent 5973N MSD,Agilent 5973N,Mass spectrometry instrument
MS_1003516,5975 MSD,Agilent 5975 MSD,MTBLS_001009,Agilent 5975 MSD,Agilent 5975,Mass spectrometry instrument
MS_1003517,5975B MSD,Agilent 5975B MSD,,,Agilent 5975B,Mass spectrometry instrument
MS_1003518,5975C inert XL MSD,Agilent 5975C inert XL MSD,MTBLS_001026,Agilent 5975C inert XL MSD,,Mass spectrometry instrument
MS_1003519,5975C MSD,Agilent 5975C MSD,MTBLS_000994,Agilent 5975C MSD,Agilent 5975C,Mass spectrometry instrument
MS_1003520,5975T MSD,Agilent 5975T MSD,MTBLS_002093,Agilent 5975T MSD,,Mass spectrometry instrument
MS_1003521,5977 MSD,Agilent 5977 MSD,,,Agilent 5977,Mass spectrometry instrument
MS_1003522,5977A MSD,Agilent 5977A MSD,MTBLS_001012,Agilent 5977A MSD,Agilent 5977A,Mass spectrometry instrument
MS_1003523,5977B MSD,Agilent 5977B MSD,MTBLS_001013,Agilent 5977B MSD,Agilent 5977B,Mass spectrometry instrument
MS_1003524,5977C MSD,Agilent 5977C MSD,,,Agilent 5977C,Mass spectrometry instrument
MS_1003525,6230 Time-of-Flight LC/MS,Agilent 6230 Accurate-Mass TOF,MTBLS_000607,Agilent 6230 Accurate-Mass TOF,Agilent 6230 TOF,Mass spectrometry instrument
MS_1003526,6410A Triple Quadrupole LC/MS,Agilent 6410A Triple Quadrupole,,,Agilent 6410A QQQ,Mass spectrometry instrument
MS_1003527,6445 Q-TOF LC/MS,Agilent 6445 Q-TOF,,,Agilent 6445 QTOF,Mass spectrometry instrument
MS_1003528,6456 Q-TOF LC/MS,Agilent 6456 Q-TOF,,,Agilent 6456 QTOF,Mass spectrometry instrument
MS_1003529,6470 Triple Quadrupole LC/MS,Agilent 6470 Triple Quadrupole,MTBLS_002094,Agilent 6470 Triple Quadrupole,Agilent 6470 QQQ; Agilent 6470 TQ,Mass spectrometry instrument
MS_1003530,6490A Triple Quadrupole LC/MS,Agilent 6490A Triple Quadrupole; Agilent G6490A Triple Quadrupole,,,Agilent 6490A QQQ; Agilent G6490A,Mass spectrometry instrument
MS_1003531,6495 Triple Quadrupole LC/MS,Agilent 6495 Triple Quadrupole,MTBLS_000611,Agilent 6495 Triple Quadrupole,Agilent 6495 QQQ,Mass spectrometry instrument
MS_1003532,6520 Q-TOF LC/MS,Agilent 6520 Q-TOF,MTBLS_000613,Agilent 6520 Q-TOF,Agilent 6520 QTOF,Mass spectrometry instrument
MS_1003533,6530 Q-TOF LC/MS,Agilent 6530 Accurate-Mass Q-TOF; Agilent 6530 Q-TOF,MTBLS_000615,Agilent 6530 Accurate-Mass Q-TOF,Agilent 6530 QTOF,Mass spectrometry instrument
MS_1003534,6543 Q-TOF LC/MS,Agilent 6543 Q-TOF,,,,Mass spectrometry instrument
MS_1003535,6545XT Q-TOF LC/MS,Agilent 6545XT Q-TOF,,,Agilent 6545XT QTOF,Mass spectrometry instrument
MS_1003536,6546 Q-TOF LC/MS,Agilent 6546 Q-TOF; Agilent 6546 LC/Q-TOF,MTBLS_002300,Agilent 6546 LC/Q-TOF,Agilent 6546 QTOF,Mass spectrometry instrument
MS_1003537,6600 Q-TOF LC/MS,Agilent 6600 Q-TOF,,,Agilent 6600 QTOF,Mass spectrometry instrument
MS_1003538,7000C Triple Quadrupole GC/MS,Agilent 7000C Triple Quadrupole,MTBLS_001011,Agilent 7000C Triple Quadrupole,,Mass spectrometry instrument
MS_1003539,7000D Triple Quadrupole GC/MS,Agilent 7000D Triple Quadrupole,MTBLS_002097,Agilent 7000D Triple Quadrupole,,Mass spectrometry instrument
MS_1003540,7010 Triple Quadrupole GC/MS,Agilent 7010 Triple Quadrupole,MTBLS_000998,Agilent 7010 Triple Quadrupole,Agilent 7010,Mass spectrometry instrument
MS_1003541,7010B Triple Quadrupole GC/MS,Agilent 7010B Triple Quadrupole,,,Agilent 7010B,Mass spectrometry instrument
MS_1003542,7200 Q-TOF GC/MS,Agilent 7200 Q-TOF,MTBLS_001007,Agilent 7200 Q-TOF,Agilent 7200 QTOF,Mass spectrometry instrument
MS_1003543,7250 Q-TOF GC/MS,Agilent 7250 GC/Q-TOF,MTBLS_002098,Agilent 7250 GC/Q-TOF,Agilent 7250,Mass spectrometry instrument
MS_1003544,CE-TOFMS,Agilent CE-TOFMS,,,Agilent CE-TOFMS,Mass spectrometry instrument
MS_1003545,G3250AA Time-of-Flight LC/MS,Agilent G3250AA TOF,,,Agilent G3250AA TOF,Mass spectrometry instrument
MS_1003546,Revident Q-TOF LC/MS,Agilent Revident Q-TOF,,,Agilent Revident Q-TOF,Mass spectrometry instrument
MS_1003547,Pegasus BT 4D,LECO Pegasus BT 4D GCxGC-TOFMS,MTBLS_002302,LECO Pegasus BT 4D GCxGC-TOFMS,,Mass spectrometry instrument
MS_1003548,Pegasus HT,LECO Pegasus HT TOFMS,MTBLS_001019,LECO Pegasus HT TOFMS,Leco Pegasus HT TOF,Mass spectrometry instrument
MS_1003549,Pegasus IV,LECO Pegasus IV,MTBLS_001028,LECO Pegasus IV,Leco Pegasus IV TOF,Mass spectrometry instrument
MS_1003550,PTR-TOF 8000,IONICON PTR-TOF 8000,,,,Mass spectrometry instrument
MS_1003551,AccuTOF GCv,JEOL AccuTOF GCv,MTBLS_001017,JEOL AccuTOF GCv,,Mass spectrometry instrument
MS_1003552,TOF.SIMS 5,ION-TOF TOF.SIMS 5,,,,Mass spectrometry instrument
MS_1003553,TurboMass GC/MS,PerkinElmer TurboMass,MTBLS_001015,PerkinElmer TurboMass,,Mass spectrometry instrument
MS_1003554,ThermoQuest Voyager,ThermoQuest Voyager,MTBLS_001006,ThermoQuest Voyager,,Mass spectrometry instrument
MS_1003555,AXIMA-LNR,,,,,Mass spectrometry instrument
MS_1003556,AXIMA-TOF²,,,,,Mass spectrometry instrument
MS_1003557,AXIMA Resonance,,,,,Mass spectrometry instrument
MS_1003558,MALDI-8020,,,,,Mass spectrometry instrument
MS_1003559,MALDI-8030,,,,,Mass spectrometry instrument
MS_1003560,MALDI-8020 EasyCare,,,,,Mass spectrometry instrument
MS_1003561,MALDI-8030 EasyCare,,,,,Mass spectrometry instrument
MS_1003562,LCMS-2010,,,,,Mass spectrometry instrument
MS_1003563,LCMS-2050,,,,,Mass spectrometry instrument
MS_1003564,LCMS-8045RX,,,,,Mass spectrometry instrument
MS_1003565,LCMS-8050RX,,,,,Mass spectrometry instrument
MS_1003566,LCMS-8060RX,,,,,Mass spectrometry instrument
MS_1003567,LCMS-8065XE,,,,,Mass spectrometry instrument
MS_1003568,LCMS-9050,,,,,Mass spectrometry instrument
MS_1003569,GCMS-QP5050A,,,,,Mass spectrometry instrument
MS_1003570,GCMS-QP2010S,,,,,Mass spectrometry instrument
MS_1003571,GCMS-QP2010,,,,,Mass spectrometry instrument
MS_1003572,GCMS-QP2020NX,,,,,Mass spectrometry instrument
MS_1003573,GCMS-QP2050,,,,,Mass spectrometry instrument
MS_1003574,GCMS-TQ 8030,,,,,Mass spectrometry instrument
MS_1003575,GCMS-TQ 8050,,,,,Mass spectrometry instrument
MS_1003800,TSQ Certis,,,,,Mass spectrometry instrument
MS_1001761,ACQUITY UPLC,Waters ACQUITY UPLC system; Waters ACQUITY UPLC system and PDA detector,MTBLS_000877; MTBLS_000870,Waters ACQUITY UPLC system; Waters ACQUITY UPLC system and PDA detector,Waters Acquity,Liquid chromatography instrument
MS_1001762,ACQUITY UPLC H-Class,Waters ACQUITY UPLC H-Class System,MTBLS_000876,Waters ACQUITY UPLC H-Class System,Waters Acquity H-Class,Liquid chromatography instrument
MS_1001763,ACQUITY UPLC H-Class Bio,,,,,Liquid chromatography instrument
MS_1001764,ACQUITY UPLC I-Class,Waters ACQUITY UPLC I-Class System,MTBLS_000917,Waters ACQUITY UPLC I-Class System,Waters Acquity I-Class,Liquid chromatography instrument
MS_1001765,ACQUITY UPLC Systems with 2D Technology,,,,,Liquid chromatography instrument
MS_1001766,nanoACQUITY UPLC,Waters nanoACQUITY UPLC system,MTBLS_000890,Waters nanoACQUITY UPLC system,Waters NanoAcquity,Liquid chromatography instrument
MS_1001767,nanoACQUITY UPLC System with 1D Technology,,,,,Liquid chromatography instrument
MS_1001768,nanoACQUITY UPLC with HDX Technology,,,,,Liquid chromatography instrument
MS_1001769,TRIZAIC UPLC nanoTile,,,,,Liquid chromatography instrument
MS_1003616,AVANT,Advion AVANT,,,,Liquid chromatography instrument
MS_1003618,1100 Series,"Agilent 1100 Series LC; Agilent 1100 Series Isocratic Pump, G1603A CE-MS Adapter Kit, and G1607A CE-ESI-MS Sprayer Kit; Agilent 1100 Series HPLC System",MTBLS_000893; MTBLS_000868,Agilent 1100 Series LC; Agilent 1100 Series HPLC System,Agilent 1100,Liquid chromatography instrument
MS_1003619,1200 Series,Agilent 1200 Series HPLC System,MTBLS_000891,Agilent 1200 Series HPLC System,Agilent 1200,Liquid chromatography instrument
MS_1003620,1200 Series HPLC-Chip,Agilent 1200 Series HPLC-Chip,MTBLS_002085,Agilent 1200 Series HPLC-Chip,,Liquid chromatography instrument
MS_1003621,1200 Series Rapid Resolution,Agilent 1200 Series Rapid Resolution LC System,MTBLS_000857,Agilent 1200 Series Rapid Resolution LC System,,Liquid chromatography instrument
MS_1003622,1200 RR Series II,,,,Agilent 1200 RR Series II,Liquid chromatography instrument
MS_1003624,1220 Infinity,Agilent 1220 Infinity LC,MTBLS_000911,Agilent 1220 Infinity LC,,Liquid chromatography instrument
MS_1003625,1260 Infinity II,Agilent 1260 Infinity II LC System,MTBLS_000904,Agilent 1260 Infinity II LC System,,Liquid chromatography instrument
MS_1003626,1260 Infinity,Agilent 1260 Infinity HPLC; Agilent 1260 Infinity LC,MTBLS_000866; MTBLS_000880,Agilent 1260 Infinity HPLC; Agilent 1260 Infinity LC,Agilent 1260,Liquid chromatography instrument
MS_1003627,1290 Infinity 2D-LC,Agilent 1290 Infinity 2D-LC,MTBLS_002086,Agilent 1290 Infinity 2D-LC,,Liquid chromatography instrument
MS_1003628,1290 Infinity,Agilent 1290 Infinity HPLC; Agilent 1290 Infinity LC; Agilent 1290 Infinity UHPLC,MTBLS_000878; MTBLS_000889; MTBLS_000871,Agilent 1290 Infinity HPLC; Agilent 1290 Infinity LC; Agilent 1290 Infinity UHPLC,"Agilent 1290, Agilent 1290 Infinity",Liquid chromatography instrument
MS_1003629,1290 Infinity II 2D-LC,Agilent 1290 Infinity II 2D-LC,MTBLS_002089,Agilent 1290 Infinity II 2D-LC,,Liquid chromatography instrument
MS_1003630,1290 Infinity II,Agilent 1290 Infinity II UHPLC; Aglient 1290 Infinity II LC,MTBLS_000864; MTBLS_000894,Agilent 1290 Infinity II UHPLC; Aglient 1290 Infinity II LC,Agilent 1290 Infinity II,Liquid chromatography instrument
MS_1003631,1200 Infinity,Agilent 1200 Infinity,,,,Liquid chromatography instrument
MS_1003632,1220 Infinity II,Agilent 1220 Infinity II,,,,Liquid chromatography instrument
MS_1003633,1260 Infinity III,Agilent 1260 Infinity III,,,,Liquid chromatography instrument
MS_1003634,1260 Infinity III Prime,Agilent 1260 Infinity III Prime,,,,Liquid chromatography instrument
MS_1003640,System Gold,Beckman Coulter System Gold HPLC 127 pump,MTBLS_000886,Beckman Coulter System Gold HPLC 127 pump,,Liquid chromatography instrument
MS_1003642,Elute,Bruker Elute LC system; Bruker Elute UHPLC system,MTBLS_002111; MTBLS_002112,Bruker Elute LC system; Bruker Elute UHPLC system,,Liquid chromatography instrument
MS_1003643,Elute HT,Bruker Elute HT,,,,Liquid chromatography instrument
MS_1003644,Elute OLE,Bruker Elute OLE,,,,Liquid chromatography instrument
MS_1003645,Elute SP,Bruker Elute SP,,,,Liquid chromatography instrument
MS_1003646,nanoElute 2,,,,,Liquid chromatography instrument
MS_1003647,proteoElute,,,,,Liquid chromatography instrument
MS_1003648,Michrom BioResources Paradigm MS4,Michrom BioResources Paradigm MS4 HPLC system,MTBLS_000882,Michrom BioResources Paradigm MS4 HPLC system,,Liquid chromatography instrument
MS_1003649,Michrom Advance nanoflow,,,,,Liquid chromatography instrument
MS_1003651,ExionLC,SCIEX ExionLC,,,,Liquid chromatography instrument
MS_1003652,ExionLC AC,SCIEX ExionLC AC,MTBLS_000897,SCIEX ExionLC AC,,Liquid chromatography instrument
MS_1003653,ExionLC AD,SCIEX ExionLC AD,MTBLS_002206,SCIEX ExionLC AD,,Liquid chromatography instrument
MS_1003654,ExionLC AE,,,,,Liquid chromatography instrument
MS_1003655,ExionLC 2.0,,,,,Liquid chromatography instrument
MS_1003656,ExionLC 2.0+,,,,,Liquid chromatography instrument
MS_1003657,Eksigent ekspert nanoLC 400,Eksigent ekspert nanoLC 400,MTBLS_000905,Eksigent ekspert nanoLC 400,,Liquid chromatography instrument
MS_1003658,Eksigent ekspert nanoLC 425,Eksigent ekspert nanoLC 425,MTBLS_002146,Eksigent ekspert nanoLC 425,,Liquid chromatography instrument
MS_1003659,Eksigent ekspret ultraLC 100,,,,,Liquid chromatography instrument
MS_1003660,Eksigent ekspert ultraLC 100-XL,,,,,Liquid chromatography instrument
MS_1003661,Eksigent ekspert ultraLC 110,Eksigent ekspert ultraLC 110,MTBLS_000872,Eksigent ekspert ultraLC 110,,Liquid chromatography instrument
MS_1003662,Eksigent NanoLC-Ultra 2D,Eksigent NanoLC-Ultra 2D system,MTBLS_000881,Eksigent NanoLC-Ultra 2D system,,Liquid chromatography instrument
MS_1003664,L-7100,Hitachi L-7100 HPLC pump,MTBLS_000916,Hitachi L-7100 HPLC pump,,Liquid chromatography instrument
MS_1003665,LaChrom Ultra,Hitachi LaChrome Ultra,MTBLS_000902,Hitachi LaChrome Ultra,,Liquid chromatography instrument
