mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1000632,Q-Tof Premier,Waters Micromass Q-Tof Premier; Waters Q-Tof Premier,MTBLS_000671,Waters Q-Tof Premier,Waters Micromass QTOF Premier,Mass spectrometry instrument
MS_1000634,DSQ,,,,,Mass spectrometry instrument
MS_1000635,ITQ 700,,,,,Mass spectrometry instrument
MS_1000636,ITQ 900,Thermo Scientific ITQ 900,MTBLS_001005,Thermo Scientific ITQ 900,,Mass spectrometry instrument
MS_1000637,ITQ 1100,,,,,Mass spectrometry instrument
MS_1000638,LTQ XL ETD,,,,,Mass spectrometry instrument
MS_1000639,LTQ Orbitrap XL ETD,Thermo Scientific LTQ Orbitrap XL ETD,MTBLS_001078,Thermo Scientific LTQ Orbitrap XL ETD,,Mass spectrometry instrument
MS_1000640,DFS,,,,,Mass spectrometry instrument
MS_1000641,DSQ II,Thermo Scientific DSQ II,MTBLS_000997,Thermo Scientific DSQ II,,Mass spectrometry instrument
MS_1000642,MALDI LTQ XL,,,,,Mass spectrometry instrument
MS_1000643,MALDI LTQ Orbitrap,,,,,Mass spectrometry instrument
MS_1000644,TSQ Quantum Access,,,,,Mass spectrometry instrument
MS_1000645,Element XR,,,,,Mass spectrometry instrument
MS_1000646,Element 2,,,,Thermo Element 2 ICP,Mass spectrometry instrument
MS_1000647,Element GD,,,,,Mass spectrometry instrument
MS_1000648,GC IsoLink,,,,,Mass spectrometry instrument
MS_1000649,Exactive,Thermo Scientific Exactive,MTBLS_000640,Thermo Scientific Exactive,,Mass spectrometry instrument
MS_1000651,3200 QTRAP,AB SCIEX QTRAP 3200,MTBLS_002298,AB SCIEX QTRAP 3200,ABI Sciex API 3200 QTrap,Mass spectrometry instrument
MS_1000652,4800 Plus MALDI TOF/TOF,AB SCIEX 4800 Plus MALDI TOF/TOF,MTBLS_000549,AB SCIEX 4800 Plus MALDI TOF/TOF,,Mass spectrometry instrument
MS_1000653,API 3200,,,,,Mass spectrometry instrument
MS_1000654,API 5000,,,,ABI Sciex API 5000 QQQ,Mass spectrometry instrument
MS_1000655,QSTAR Elite,,,,,Mass spectrometry instrument
MS_1000656,QSTAR Pulsar,,,,,Mass spectrometry instrument
MS_1000657,QSTAR XL,,,,,Mass spectrometry instrument
MS_1000658,4800 Proteomics Analyzer,,,,,Mass spectrometry instrument
MS_1000660,Xevo MRT MS,Waters Xevo MRT,,,,Mass spectrometry instrument
MS_1000675,6220 Time-of-Flight LC/MS,Agilent 6220 Accurate-Mass TOF,MTBLS_000304,Agilent 6220 Accurate-Mass TOF,Agilent 6220 TOF,Mass spectrometry instrument
MS_1000676,6510 Quadrupole Time-of-Flight LC/MS,Agilent 6510 Q-TOF,,,Agilent 6510 QTOF,Mass spectrometry instrument
MS_1000677,6520A Quadrupole Time-of-Flight LC/MS,Agilent 6520A Q-TOF,MTBLS_000614,Agilent 6520A Q-TOF,,Mass spectrometry instrument
MS_1000695,apex ultra,,,,,Mass spectrometry instrument
MS_1000696,autoflex III smartbeam,,,,,Mass spectrometry instrument
MS_1000698,HCTultra,,,,,Mass spectrometry instrument
MS_1000699,HCTultra PTM,,,,,Mass spectrometry instrument
MS_1000700,HCTultra ETD II,,,,,Mass spectrometry instrument
MS_1000701,microflex LT,,,,,Mass spectrometry instrument
MS_1000702,micrOTOF,Bruker micrOTOF,MTBLS_000631,Bruker micrOTOF,,Mass spectrometry instrument
MS_1000703,micrOTOF-Q,Bruker micrOTOF-Q I,MTBLS_000632,Bruker micrOTOF-Q I,,Mass spectrometry instrument
MS_1000704,micrOTOF-Q II,Bruker micrOTOF-Q II,MTBLS_000633,Bruker micrOTOF-Q II,,Mass spectrometry instrument
MS_1000705,ultraflex III TOF/TOF,,,,,Mass spectrometry instrument
MS_1000743,TSQ Quantum Ultra AM,,,,,Mass spectrometry instrument
MS_1000748,SSQ 7000,,,,,Mass spectrometry instrument
MS_1000749,TSQ 7000,,,,,Mass spectrometry instrument
MS_1000750,TSQ,,,,,Mass spectrometry instrument
MS_1000751,TSQ Quantum Ultra,Thermo Scientific TSQ Quantum Ultra,MTBLS_000664,Thermo Scientific TSQ Quantum Ultra,Thermo TSQ Quantum Ultra,Mass spectrometry instrument
MS_1000818,Acquity UPLC PDA,,,,,Mass spectrometry instrument
MS_1000819,Acquity UPLC FLR,,,,,Mass spectrometry instrument
